date,energy,time_hours,time_period,moth
2014-03-10,0.998,6,AM,March
2014-07-11,0.883,2,PM,July
2014-07-26,5.141,7,PM,July
2014-04-07,0.131,8,AM,April
2014-12-11,0.327,9,AM,December
2014-12-27,0.287,5,AM,December
2014-12-22,0.475,8,AM,December
2014-05-22,1.037,8,PM,May
2014-09-10,0.297,10,AM,September
2014-03-17,0.523,9,PM,March
2014-12-26,2.02,7,PM,December
2014-04-11,0.061,2,AM,April
2014-09-01,0.319,11,PM,September
2014-07-13,1.44,12,PM,July
2014-12-07,0.34,2,AM,December
2014-04-05,0.106,2,AM,April
2014-05-26,0.168,4,AM,May
2014-01-08,0.648,10,AM,January
2014-03-31,1.344,6,PM,March
2014-07-20,0.742,2,AM,July
2014-05-16,0.44,12,PM,May
2014-05-17,0.233,4,AM,May
2014-02-01,1.008,2,PM,February
2014-03-21,0.31,8,AM,March
2014-01-16,1.04,11,AM,January
2014-09-22,0.28,3,PM,September
2014-11-14,0.423,11,PM,November
2014-03-10,0.368,8,AM,March
2014-04-09,0.077,9,AM,April
2014-02-05,0.542,8,AM,February
2014-03-31,0.314,1,PM,March
2014-02-15,0.576,12,PM,February
2014-11-29,0.68,8,PM,November
2014-07-16,2.009,7,AM,July
2014-07-29,3.955,8,PM,July
2014-06-16,0.556,12,AM,June
2014-05-23,0.374,8,AM,May
2014-06-26,0.576,4,PM,June
2014-04-03,0.144,9,PM,April
2014-04-06,0.267,3,PM,April
2014-08-10,1.642,7,AM,August
2014-03-13,0.266,10,AM,March
2014-08-16,0.428,4,AM,August
2014-05-15,0.378,8,AM,May
2014-11-21,0.104,4,AM,November
2014-07-18,3.307,5,PM,July
2014-08-07,0.504,10,AM,August
2014-08-27,0.216,2,AM,August
2014-05-19,0.179,1,AM,May
2014-08-16,1.004,9,AM,August
2014-03-30,0.523,11,AM,March
2014-05-10,0.884,8,AM,May
2014-01-17,3.052,6,PM,January
2014-06-15,1.199,1,PM,June
2014-01-02,0.88,2,PM,January
2014-04-22,0.071,2,AM,April
2014-12-06,0.317,2,AM,December
2014-09-13,0.498,2,PM,September
2014-08-12,0.437,2,PM,August
2014-09-04,0.662,5,AM,September
2014-12-16,0.194,2,AM,December
2014-03-08,0.233,4,AM,March
2014-10-02,0.191,12,AM,October
2014-01-05,2.052,5,PM,January
2014-04-28,0.464,5,PM,April
2014-12-30,0.851,7,AM,December
2014-06-12,0.356,1,AM,June
2014-01-16,0.36,3,AM,January
2014-05-10,0.691,4,PM,May
2014-03-28,0.388,11,AM,March
2014-07-30,3.401,5,PM,July
2014-05-09,0.977,5,AM,May
2014-09-07,0.179,2,AM,September
2014-04-16,0.446,8,PM,April
2014-02-08,0.706,10,AM,February
2014-08-03,2.138,6,PM,August
2014-04-30,0.062,3,AM,April
2014-08-21,0.403,3,PM,August
2014-01-01,2.354,5,AM,January
2014-10-31,0.354,12,PM,October
2014-09-12,0.141,1,AM,September
2014-08-09,0.389,4,AM,August
2014-01-24,2.288,5,PM,January
2014-11-18,0.25,11,AM,November
2014-09-07,0.441,9,PM,September
2014-01-29,0.97,10,PM,January
2014-01-27,1.02,12,PM,January
2014-03-24,1.498,7,PM,March
2014-07-23,0.727,9,AM,July
2014-01-05,0.54,1,AM,January
2014-12-04,1.099,7,AM,December
2014-11-21,0.59,8,PM,November
2014-09-07,1.386,6,PM,September
2014-11-04,0.527,5,PM,November
2014-12-28,0.373,3,AM,December
2014-11-22,0.198,10,PM,November
2014-10-13,0.144,9,AM,October
2014-11-04,0.491,6,AM,November
2014-03-07,0.376,11,AM,March
2014-11-21,0.477,11,PM,November
2014-06-12,0.742,8,AM,June
2014-01-11,1.854,5,PM,January
2014-01-26,0.672,2,AM,January
2014-03-30,1.397,6,PM,March
2014-06-11,0.317,1,AM,June
2014-03-07,1.485,8,PM,March
2014-03-31,0.138,4,AM,March
2014-05-10,0.233,1,AM,May
2014-05-17,0.571,11,AM,May
2014-07-14,3.192,6,PM,July
2014-06-06,1.881,5,AM,June
2014-04-01,0.159,12,PM,April
2014-08-06,0.594,11,AM,August
2014-06-10,0.981,10,PM,June
2014-03-29,0.646,12,AM,March
2014-10-04,0.486,4,PM,October
2014-04-11,0.132,8,AM,April
2014-09-27,0.42,1,PM,September
2014-09-29,0.168,2,AM,September
2014-01-15,3.136,8,PM,January
2014-04-26,0.087,4,AM,April
2014-07-06,0.77,1,AM,July
2014-08-22,0.238,2,AM,August
2014-12-31,0.633,10,PM,December
2014-04-20,0.185,10,AM,April
2014-07-26,2.354,9,AM,July
2014-02-16,0.972,9,AM,February
2014-02-17,2.15,8,PM,February
2014-07-08,3.725,8,PM,July
2014-11-25,0.515,5,PM,November
2014-09-23,0.216,9,AM,September
2014-06-28,1.636,4,PM,June
2014-03-09,0.218,5,AM,March
2014-02-16,1.685,8,AM,February
2014-04-29,0.164,11,PM,April
2014-04-06,0.223,6,AM,April
2014-09-21,0.25,2,AM,September
2014-02-08,2.074,6,PM,February
2014-12-20,1.099,5,PM,December
2014-11-04,0.286,9,PM,November
2014-05-26,0.826,6,AM,May
2014-12-02,0.274,9,AM,December
2014-11-26,0.087,2,AM,November
2014-07-06,0.749,2,AM,July
2014-09-29,0.774,5,PM,September
2014-08-14,0.542,2,PM,August
2014-05-01,0.272,8,AM,May
2014-01-02,0.472,1,AM,January
2014-12-07,0.33,3,AM,December
2014-04-29,0.353,5,AM,April
2014-04-19,0.243,9,AM,April
2014-04-10,0.251,7,AM,April
2014-09-11,0.326,12,PM,September
2014-02-27,1.326,5,PM,February
2014-12-03,0.387,1,PM,December
2014-12-10,0.178,1,AM,December
2014-07-07,3.432,5,PM,July
2014-01-11,0.944,10,PM,January
2014-02-16,0.857,1,PM,February
2014-12-30,0.264,4,AM,December
2014-10-20,0.941,8,PM,October
2014-05-02,0.131,1,AM,May
2014-07-20,2.246,6,AM,July
2014-10-05,0.354,10,PM,October
2014-12-17,1.01,7,AM,December
2014-08-19,0.25,2,AM,August
2014-02-20,0.257,4,AM,February
2014-08-17,0.583,10,AM,August
2014-10-09,0.2,12,AM,October
2014-07-19,1.541,11,AM,July
2014-10-21,0.199,1,PM,October
2014-04-21,0.167,11,AM,April
2014-07-01,3.725,8,PM,July
2014-11-30,0.578,7,AM,November
2014-01-28,0.96,10,AM,January
2014-01-23,0.87,11,PM,January
2014-11-19,0.104,4,AM,November
2014-09-18,0.288,1,PM,September
2014-11-27,0.089,3,AM,November
2014-02-11,0.271,1,AM,February
2014-12-04,0.409,2,PM,December
2014-04-06,0.176,10,PM,April
2014-07-26,1.786,6,AM,July
2014-11-11,0.437,7,AM,November
2014-10-30,0.428,9,PM,October
2014-04-05,0.198,11,AM,April
2014-01-26,1.404,12,PM,January
2014-01-02,4.14,7,PM,January
2014-10-31,0.169,12,AM,October
2014-03-11,0.412,11,PM,March
2014-08-25,1.555,6,AM,August
2014-03-10,0.131,1,AM,March
2014-04-22,0.13,8,AM,April
2014-12-05,0.233,4,AM,December
2014-12-18,0.495,12,PM,December
2014-09-15,0.301,10,PM,September
2014-01-19,3.384,8,PM,January
2014-11-08,0.136,3,AM,November
2014-02-22,0.931,2,PM,February
2014-12-08,0.541,9,PM,December
2014-11-30,0.281,9,PM,November
2014-11-07,0.374,11,PM,November
2014-12-10,0.524,4,PM,December
2014-09-28,0.361,11,PM,September
2014-05-20,1.288,6,PM,May
2014-04-04,0.058,3,AM,April
2014-05-23,0.317,9,PM,May
2014-08-18,0.516,10,PM,August
2014-05-24,0.672,12,AM,May
2014-08-03,1.607,8,AM,August
2014-10-13,0.686,5,AM,October
2014-09-12,1.197,7,PM,September
2014-12-15,0.294,12,AM,December
2014-04-25,0.121,4,PM,April
2014-07-24,2.448,6,AM,July
2014-08-09,0.677,10,AM,August
2014-04-22,0.077,9,AM,April
2014-02-16,0.912,6,AM,February
2014-02-23,0.799,9,PM,February
2014-01-17,0.688,10,AM,January
2014-02-14,1.505,5,AM,February
2014-12-29,1.222,5,AM,December
2014-11-29,0.227,11,AM,November
2014-01-06,0.808,8,AM,January
2014-02-23,0.666,10,PM,February
2014-09-25,0.333,4,PM,September
2014-06-19,0.792,2,PM,June
2014-12-18,0.196,1,AM,December
2014-10-16,0.719,5,AM,October
2014-08-13,1.562,6,PM,August
2014-03-20,0.424,10,PM,March
2014-01-31,2.448,6,AM,January
2014-07-05,1.075,10,PM,July
2014-02-12,1.346,5,AM,February
2014-01-11,1.926,3,PM,January
2014-10-29,0.357,11,AM,October
2014-07-05,0.612,3,AM,July
2014-11-27,0.088,4,AM,November
2014-06-09,1.822,5,AM,June
2014-01-30,0.728,4,PM,January
2014-07-28,1.555,9,PM,July
2014-03-27,1.714,7,PM,March
2014-11-17,0.189,10,AM,November
2014-10-29,0.114,2,AM,October
2014-07-30,5.054,7,PM,July
2014-09-09,0.311,4,PM,September
2014-05-04,0.278,4,AM,May
2014-03-26,0.853,5,PM,March
2014-01-13,0.408,2,AM,January
2014-02-06,0.216,3,AM,February
2014-02-18,0.32,12,AM,February
2014-08-07,2.268,7,PM,August
2014-09-30,0.693,5,AM,September
2014-01-25,1.44,6,AM,January
2014-01-04,1.89,3,PM,January
2014-03-24,0.464,10,PM,March
2014-04-25,0.077,12,AM,April
2014-03-07,0.648,7,AM,March
2014-01-29,2.034,7,AM,January
2014-03-03,0.259,4,PM,March
2014-12-12,0.396,4,PM,December
2014-01-19,2.88,7,PM,January
2014-04-29,0.138,3,PM,April
2014-05-14,0.376,11,PM,May
2014-12-30,0.633,10,PM,December
2014-11-03,0.198,2,PM,November
2014-06-25,2.362,8,PM,June
2014-10-02,0.249,11,PM,October
2014-11-22,0.227,10,AM,November
2014-10-17,0.827,5,PM,October
2014-06-02,0.619,10,AM,June
2014-11-01,0.151,9,PM,November
2014-12-16,0.881,7,AM,December
2014-10-15,0.226,8,AM,October
2014-04-19,0.359,8,AM,April
2014-08-15,0.542,8,AM,August
2014-11-15,0.135,2,AM,November
2014-03-16,0.283,4,AM,March
2014-05-01,0.147,2,AM,May
2014-09-28,0.441,1,PM,September
2014-09-19,0.983,5,PM,September
2014-03-25,0.323,4,PM,March
2014-01-28,1.03,11,PM,January
2014-08-30,1.004,4,PM,August
2014-08-01,1.112,7,AM,August
2014-01-18,0.492,3,AM,January
2014-12-15,0.337,9,AM,December
2014-01-21,1.06,10,PM,January
2014-07-03,1.152,1,PM,July
2014-03-06,0.566,9,PM,March
2014-11-14,0.157,2,PM,November
2014-04-20,0.205,1,PM,April
2014-04-18,0.104,2,PM,April
2014-05-14,0.152,2,AM,May
2014-01-05,0.972,1,PM,January
2014-06-21,2.083,8,AM,June
2014-06-18,0.634,10,AM,June
2014-07-06,0.72,4,AM,July
2014-12-27,0.889,12,AM,December
2014-04-28,0.101,3,PM,April
2014-12-18,0.264,4,AM,December
2014-08-15,0.254,2,AM,August
2014-06-26,2.117,6,PM,June
2014-09-09,0.396,11,AM,September
2014-07-17,1.38,12,PM,July
2014-01-12,1.104,9,PM,January
2014-05-16,0.571,10,PM,May
2014-07-11,0.494,4,AM,July
2014-05-28,0.323,3,PM,May
2014-02-05,0.522,12,PM,February
2014-04-09,0.319,7,AM,April
2014-06-30,0.972,11,PM,June
2014-10-19,0.175,5,AM,October
2014-12-20,1.742,7,PM,December
2014-01-03,0.712,9,PM,January
2014-08-20,1.195,6,AM,August
2014-04-22,0.238,7,AM,April
2014-02-14,0.413,4,PM,February
2014-07-25,1.495,10,PM,July
2014-04-25,0.3,7,AM,April
2014-12-26,0.224,3,AM,December
2014-01-05,2.106,4,PM,January
2014-11-04,0.241,11,AM,November
2014-11-06,0.656,7,PM,November
2014-06-28,0.589,2,AM,June
2014-12-10,1.077,5,AM,December
2014-03-24,0.176,3,AM,March
2014-09-29,0.272,2,PM,September
2014-01-19,2.112,7,AM,January
2014-05-29,1.57,7,PM,May
2014-08-25,0.564,11,PM,August
2014-03-01,0.664,11,PM,March
2014-07-17,0.95,8,AM,July
2014-08-28,0.514,2,PM,August
2014-10-19,0.191,2,AM,October
2014-09-27,0.231,2,AM,September
2014-04-17,0.389,5,AM,April
2014-01-11,2.016,7,AM,January
2014-09-21,0.616,2,PM,September
2014-01-29,0.824,8,AM,January
2014-03-20,0.142,1,AM,March
2014-07-18,2.482,5,AM,July
2014-12-07,0.739,12,AM,December
2014-12-06,0.327,5,AM,December
2014-01-18,1.2,11,AM,January
2014-01-25,0.48,2,AM,January
2014-08-18,0.691,9,PM,August
2014-03-13,0.275,3,PM,March
2014-01-14,2.52,6,PM,January
2014-05-26,0.19,1,AM,May
2014-05-31,0.926,8,AM,May
2014-07-19,1.526,10,AM,July
2014-10-14,0.235,10,AM,October
2014-06-15,1.069,9,PM,June
2014-10-01,0.142,3,AM,October
2014-08-30,0.374,1,AM,August
2014-05-13,0.333,8,AM,May
2014-08-05,0.655,9,PM,August
2014-01-28,0.448,4,AM,January
2014-08-16,1.512,7,AM,August
2014-03-21,0.36,11,AM,March
2014-12-05,0.427,9,PM,December
2014-08-25,0.523,10,AM,August
2014-08-22,0.48,11,AM,August
2014-06-24,0.4,2,AM,June
2014-05-19,0.281,9,AM,May
2014-12-17,0.2,2,AM,December
2014-03-16,0.348,10,PM,March
2014-10-31,0.62,5,AM,October
2014-05-20,0.294,3,PM,May
2014-05-18,0.73,12,AM,May
2014-09-04,0.347,12,PM,September
2014-09-16,1.221,8,PM,September
2014-09-27,0.208,5,AM,September
2014-05-11,1.368,6,PM,May
2014-08-02,1.814,7,PM,August
2014-05-10,0.514,1,PM,May
2014-05-16,1.085,6,AM,May
2014-04-23,0.37,5,AM,April
2014-11-03,0.486,7,AM,November
2014-05-08,0.538,9,PM,May
2014-06-06,2.39,8,PM,June
2014-09-06,1.474,6,PM,September
2014-07-24,0.912,1,PM,July
2014-12-25,0.638,11,AM,December
2014-10-13,0.264,3,PM,October
2014-01-13,0.656,3,PM,January
2014-05-27,0.626,7,AM,May
2014-08-20,0.666,12,PM,August
2014-09-04,0.122,4,AM,September
2014-03-13,0.197,9,AM,March
2014-05-15,0.988,5,PM,May
2014-09-30,0.28,4,PM,September
2014-10-18,0.418,10,AM,October
2014-09-21,0.554,9,AM,September
2014-09-27,0.424,10,AM,September
2014-09-30,0.428,9,PM,September
2014-02-23,0.389,1,AM,February
2014-06-27,0.356,3,AM,June
2014-10-14,0.132,4,AM,October
2014-01-23,0.636,9,AM,January
2014-08-19,0.485,4,PM,August
2014-12-28,0.96,4,PM,December
2014-12-10,0.378,10,AM,December
2014-01-21,2.106,7,AM,January
2014-01-30,0.324,1,AM,January
2014-04-23,0.121,1,PM,April
2014-06-24,0.691,1,PM,June
2014-08-06,1.357,5,PM,August
2014-10-05,1.145,8,PM,October
2014-12-29,0.901,7,AM,December
2014-11-16,0.972,6,PM,November
2014-07-10,1.426,9,PM,July
2014-07-21,0.912,2,PM,July
2014-08-20,1.451,5,PM,August
2014-05-25,0.288,1,AM,May
2014-02-27,0.606,11,AM,February
2014-07-02,3.888,7,PM,July
2014-03-05,0.199,9,AM,March
2014-05-07,0.365,4,PM,May
2014-05-30,0.46,11,AM,May
2014-08-08,0.533,10,AM,August
2014-12-29,0.66,11,PM,December
2014-02-17,1.056,5,AM,February
2014-04-11,0.386,6,PM,April
2014-09-19,0.258,9,PM,September
2014-05-04,0.202,2,AM,May
2014-02-26,0.562,3,PM,February
2014-04-30,0.162,12,PM,April
2014-07-31,1.044,12,PM,July
2014-10-16,0.103,2,AM,October
2014-03-20,1.12,6,PM,March
2014-09-26,0.333,4,PM,September
2014-11-03,0.153,9,AM,November
2014-04-29,0.157,9,PM,April
2014-11-18,0.102,1,AM,November
2014-03-14,0.893,6,AM,March
2014-06-24,0.81,10,PM,June
2014-10-30,0.192,8,AM,October
2014-07-30,3.312,6,AM,July
2014-09-27,0.561,9,AM,September
2014-11-17,0.08,1,AM,November
2014-03-09,0.286,4,AM,March
2014-05-28,0.282,4,PM,May
2014-08-27,0.238,1,AM,August
2014-02-23,0.353,4,AM,February
2014-03-20,0.269,4,PM,March
2014-06-20,0.778,3,PM,June
2014-06-18,0.749,2,PM,June
2014-04-27,0.101,3,AM,April
2014-11-05,0.102,4,AM,November
2014-01-22,2.288,5,PM,January
2014-08-21,0.523,2,PM,August
2014-12-23,1.056,6,AM,December
2014-01-11,1.44,2,PM,January
2014-11-20,0.203,4,PM,November
2014-11-29,0.187,10,PM,November
2014-05-20,0.381,2,PM,May
2014-02-16,1.21,3,PM,February
2014-09-01,0.747,5,AM,September
2014-02-23,0.896,3,PM,February
2014-10-27,0.481,7,AM,October
2014-04-15,0.162,11,AM,April
2014-06-17,1.026,9,PM,June
2014-06-02,0.918,11,AM,June
2014-12-24,0.488,10,AM,December
2014-09-29,0.739,6,AM,September
2014-11-07,0.112,12,AM,November
2014-10-21,0.626,6,AM,October
2014-05-18,0.278,5,AM,May
2014-12-23,0.205,2,AM,December
2014-08-04,1.596,6,PM,August
2014-09-11,1.008,7,PM,September
2014-01-02,0.712,8,AM,January
2014-07-19,0.598,5,AM,July
2014-01-19,0.522,5,AM,January
2014-10-09,0.212,9,AM,October
2014-10-16,0.132,1,AM,October
2014-11-03,0.513,6,AM,November
2014-01-08,0.34,1,AM,January
2014-02-27,0.266,2,AM,February
2014-10-09,0.194,4,PM,October
2014-03-20,0.192,3,AM,March
2014-06-28,3.305,8,PM,June
2014-08-02,0.97,6,AM,August
2014-06-30,2.246,5,PM,June
2014-10-21,0.216,9,AM,October
2014-09-22,0.269,1,PM,September
2014-05-14,0.362,10,AM,May
2014-05-01,0.13,1,AM,May
2014-02-14,0.247,3,AM,February
2014-05-20,0.336,10,AM,May
2014-02-17,1.879,7,PM,February
2014-03-30,0.242,5,AM,March
2014-07-28,5.011,7,PM,July
2014-03-23,1.224,7,PM,March
2014-12-06,1.258,8,AM,December
2014-07-30,0.542,3,AM,July
2014-04-19,0.1,1,AM,April
2014-03-22,0.59,4,PM,March
2014-07-20,0.619,5,AM,July
2014-05-21,0.266,10,AM,May
2014-03-18,0.259,4,PM,March
2014-10-30,0.291,12,PM,October
2014-04-17,0.137,10,PM,April
2014-01-23,0.768,4,PM,January
2014-01-11,0.612,3,AM,January
2014-02-19,0.266,4,AM,February
2014-03-28,1.512,7,PM,March
2014-12-04,1.478,6,AM,December
2014-12-14,1.01,4,PM,December
2014-11-03,0.207,1,PM,November
2014-02-25,0.48,1,PM,February
2014-12-25,1.401,5,PM,December
2014-02-16,0.414,1,AM,February
2014-10-13,0.297,11,AM,October
2014-09-15,0.333,11,PM,September
2014-08-13,1.31,5,PM,August
2014-06-15,3.337,8,PM,June
2014-11-03,0.254,10,PM,November
2014-01-27,0.4,2,AM,January
2014-05-31,0.252,2,AM,May
2014-04-22,0.064,1,AM,April
2014-05-13,0.883,6,AM,May
2014-01-10,3.392,8,PM,January
2014-02-17,0.262,4,AM,February
2014-12-22,1.742,7,PM,December
2014-05-01,0.32,4,PM,May
2014-09-01,0.134,1,AM,September
2014-07-13,0.626,4,AM,July
2014-10-31,1.133,8,PM,October
2014-10-23,0.292,9,PM,October
2014-10-18,0.814,7,AM,October
2014-07-18,0.77,12,AM,July
2014-08-04,0.523,1,PM,August
2014-02-11,0.533,10,AM,February
2014-02-10,0.238,2,AM,February
2014-06-17,0.801,12,PM,June
2014-02-22,0.918,5,PM,February
2014-05-09,0.605,7,AM,May
2014-02-18,0.456,3,PM,February
2014-06-03,0.828,12,PM,June
2014-04-02,0.12,10,PM,April
2014-02-18,0.6,10,PM,February
2014-12-24,0.205,3,AM,December
2014-03-23,0.727,3,PM,March
2014-01-02,0.712,4,PM,January
2014-12-26,0.462,11,AM,December
2014-07-25,0.857,9,AM,July
2014-07-12,0.864,1,AM,July
2014-08-02,2.009,6,PM,August
2014-07-11,0.684,12,AM,July
2014-07-18,0.97,10,AM,July
2014-05-11,0.262,3,AM,May
2014-02-23,0.349,3,AM,February
2014-08-01,0.764,10,PM,August
2014-05-02,0.42,11,AM,May
2014-06-16,0.513,9,AM,June
2014-04-19,0.169,10,AM,April
2014-02-10,0.666,11,PM,February
2014-10-15,0.252,10,PM,October
2014-10-07,0.78,5,PM,October
2014-12-16,0.361,4,PM,December
2014-06-29,0.918,10,AM,June
2014-11-05,0.216,10,PM,November
2014-10-18,0.385,12,PM,October
2014-11-25,0.189,8,AM,November
2014-02-06,0.494,4,PM,February
2014-01-30,1.2,9,PM,January
2014-05-05,0.933,5,AM,May
2014-11-15,0.458,9,AM,November
2014-05-31,0.595,2,PM,May
2014-08-22,0.211,4,AM,August
2014-03-01,0.294,10,PM,March
2014-08-29,0.557,10,AM,August
2014-06-07,0.475,1,AM,June
2014-10-27,0.309,10,PM,October
2014-11-10,0.478,7,AM,November
2014-07-23,1.128,12,PM,July
2014-09-17,0.406,11,AM,September
2014-08-18,0.618,12,PM,August
2014-11-27,0.753,7,PM,November
2014-11-02,0.352,4,PM,November
2014-03-01,1.584,7,PM,March
2014-11-01,0.409,5,PM,November
2014-10-23,0.655,5,PM,October
2014-07-16,1.238,9,PM,July
2014-01-03,0.558,9,AM,January
2014-09-12,0.288,1,PM,September
2014-01-29,0.664,1,PM,January
2014-09-19,0.269,3,PM,September
2014-06-29,3.532,7,PM,June
2014-01-07,1.09,10,PM,January
2014-03-02,0.422,12,PM,March
2014-01-13,0.99,10,PM,January
2014-02-20,1.898,6,PM,February
2014-07-08,2.798,5,AM,July
2014-11-03,0.108,3,AM,November
2014-11-18,0.416,5,AM,November
2014-10-13,0.233,4,PM,October
2014-01-03,1.16,12,PM,January
2014-07-11,0.768,3,PM,July
2014-10-26,0.162,5,AM,October
2014-12-02,0.418,10,AM,December
2014-01-10,0.72,12,AM,January
2014-02-26,1.307,5,AM,February
2014-07-25,0.662,12,AM,July
2014-10-17,0.142,3,AM,October
2014-08-10,1.123,6,AM,August
2014-12-17,0.686,9,PM,December
2014-03-17,0.272,1,PM,March
2014-11-27,0.1,1,AM,November
2014-02-24,0.522,10,PM,February
2014-05-29,0.178,4,AM,May
2014-09-02,0.238,8,AM,September
2014-10-10,0.128,1,AM,October
2014-04-06,0.3,9,AM,April
2014-06-25,2.689,7,PM,June
2014-06-06,0.346,4,AM,June
2014-01-16,0.86,10,PM,January
2014-10-24,0.309,12,PM,October
2014-08-10,0.583,12,PM,August
2014-03-20,0.138,4,AM,March
2014-02-11,0.606,10,PM,February
2014-08-11,0.504,10,PM,August
2014-12-02,0.484,1,PM,December
2014-03-01,0.294,9,PM,March
2014-10-14,0.257,2,PM,October
2014-04-07,0.486,7,PM,April
2014-05-21,0.211,12,AM,May
2014-05-26,0.408,11,AM,May
2014-02-26,2.009,7,PM,February
2014-09-01,0.291,2,PM,September
2014-01-23,0.95,12,PM,January
2014-02-12,0.392,9,AM,February
2014-04-02,0.137,1,PM,April
2014-09-03,0.79,6,AM,September
2014-11-03,0.095,2,AM,November
2014-05-21,0.468,11,AM,May
2014-01-26,1.656,9,AM,January
2014-11-25,0.605,6,AM,November
2014-12-28,0.32,5,AM,December
2014-01-17,0.64,3,PM,January
2014-12-12,1.232,11,PM,December
2014-02-24,0.226,2,AM,February
2014-02-12,0.48,10,PM,February
2014-11-21,0.18,11,AM,November
2014-03-27,0.518,9,PM,March
2014-06-22,0.643,2,AM,June
2014-02-19,0.396,9,AM,February
2014-07-27,1.836,9,AM,July
2014-04-01,0.134,11,AM,April
2014-10-31,0.109,2,AM,October
2014-09-24,0.413,12,PM,September
2014-01-03,2.02,11,PM,January
2014-12-23,1.98,7,PM,December
2014-01-22,0.896,4,PM,January
2014-06-27,2.138,6,AM,June
2014-02-19,0.245,3,AM,February
2014-08-19,0.69,10,PM,August
2014-03-26,0.339,8,AM,March
2014-12-08,1.566,8,PM,December
2014-05-16,0.16,3,AM,May
2014-01-03,0.88,1,PM,January
2014-05-06,0.922,6,AM,May
2014-01-09,0.424,4,AM,January
2014-11-10,0.132,9,AM,November
2014-02-11,0.338,12,AM,February
2014-10-05,0.36,10,AM,October
2014-03-16,1.642,6,PM,March
2014-05-12,1.152,6,AM,May
2014-08-06,0.498,12,PM,August
2014-12-14,2.039,7,PM,December
2014-03-17,0.214,12,AM,March
2014-06-06,0.338,3,AM,June
2014-03-20,1.142,6,AM,March
2014-05-03,0.988,8,AM,May
2014-04-23,0.403,8,PM,April
2014-04-11,0.097,9,PM,April
2014-04-17,0.12,4,PM,April
2014-01-02,1.368,9,PM,January
2014-04-30,0.374,5,PM,April
2014-08-12,1.882,8,PM,August
2014-10-27,0.262,4,PM,October
2014-02-19,0.528,8,AM,February
2014-01-21,0.576,9,AM,January
2014-01-11,0.48,2,AM,January
2014-04-08,0.278,7,AM,April
2014-03-27,0.171,2,AM,March
2014-06-05,0.67,4,PM,June
2014-09-07,0.907,7,AM,September
2014-01-19,2.142,9,AM,January
2014-07-15,1.008,10,AM,July
2014-02-24,0.552,11,AM,February
2014-09-10,0.322,11,PM,September
2014-03-12,0.272,4,PM,March
2014-03-04,0.432,11,PM,March
2014-12-10,0.901,7,AM,December
2014-12-13,0.488,9,PM,December
2014-08-05,1.882,8,PM,August
2014-08-14,1.824,8,PM,August
2014-03-01,0.957,8,AM,March
2014-11-22,0.297,12,PM,November
2014-06-27,0.491,9,AM,June
2014-10-12,0.339,10,PM,October
2014-09-29,0.678,5,AM,September
2014-06-14,0.643,3,AM,June
2014-06-21,3.532,6,PM,June
2014-02-08,1.763,8,AM,February
2014-06-04,2.657,7,PM,June
2014-03-26,1.05,8,PM,March
2014-10-29,0.211,3,PM,October
2014-05-07,0.376,11,PM,May
2014-06-28,1.048,12,PM,June
2014-01-26,1.424,2,PM,January
2014-04-03,0.071,4,AM,April
2014-11-25,0.16,1,PM,November
2014-09-25,0.389,11,AM,September
2014-02-18,0.264,2,AM,February
2014-09-15,0.396,11,AM,September
2014-10-09,0.274,1,PM,October
2014-09-19,0.208,9,AM,September
2014-12-27,1.178,5,PM,December
2014-12-02,0.227,3,AM,December
2014-08-06,0.63,10,PM,August
2014-02-12,0.47,8,AM,February
2014-02-09,0.36,5,AM,February
2014-08-31,0.95,6,AM,August
2014-01-14,2.112,5,AM,January
2014-12-09,0.66,12,PM,December
2014-03-13,0.344,10,PM,March
2014-03-23,0.44,10,PM,March
2014-08-14,1.798,6,PM,August
2014-01-28,0.534,9,AM,January
2014-09-21,0.956,8,AM,September
2014-07-03,0.552,4,AM,July
2014-05-27,0.149,4,AM,May
2014-03-30,0.742,5,PM,March
2014-09-22,0.157,3,AM,September
2014-12-14,0.653,12,PM,December
2014-10-03,0.257,2,PM,October
2014-08-03,1.714,7,AM,August
2014-04-30,0.11,2,PM,April
2014-11-14,0.193,1,PM,November
2014-10-21,0.541,5,AM,October
2014-04-28,0.1,8,AM,April
2014-09-12,0.784,11,PM,September
2014-06-22,0.513,3,AM,June
2014-08-09,0.418,10,PM,August
2014-05-10,1.224,6,PM,May
2014-01-30,0.816,8,AM,January
2014-04-06,0.545,7,PM,April
2014-05-19,1.267,7,PM,May
2014-10-11,0.295,11,AM,October
2014-11-26,0.203,10,AM,November
2014-06-19,2.808,5,PM,June
2014-12-02,0.739,9,PM,December
2014-09-27,1.074,8,AM,September
2014-04-09,0.421,5,PM,April
2014-09-21,0.37,1,PM,September
2014-01-13,0.546,12,AM,January
2014-06-23,0.605,2,PM,June
2014-02-13,0.209,1,AM,February
2014-04-26,0.107,9,PM,April
2014-04-23,0.131,10,PM,April
2014-09-13,0.208,5,AM,September
2014-06-27,1.908,11,PM,June
2014-04-12,0.232,5,PM,April
2014-08-18,0.266,2,AM,August
2014-06-29,3.143,6,PM,June
2014-08-11,0.446,1,PM,August
2014-04-04,0.132,3,PM,April
2014-01-15,0.704,10,AM,January
2014-02-15,1.498,8,AM,February
2014-03-10,0.448,10,PM,March
2014-01-17,0.452,3,AM,January
